word,base_word,phonetic,pos,meaning,level,collocation,etymology,example_en,example_zh
lot,lot,/lɒt/,vt./vi./n.,"n. 运气, 签, 抽签, 份额, 许多, 一堆；vt. 划分；vi. 抽签, 抓阄",A1,,,,
study,study,/'stʌdi/,vt./vi./n.,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作；vt. 学习, 读书, 研究, 考虑, 计划；vi. 学习, 思索",A1,,,,
book,book,/buk/,v./n.,"n. 书, 书籍, 帐簿, 名册, 工作簿；v. 登记, 预订",A1,,,,
eye,eye,/ai/,vt./n.,"n. 眼睛, 视力, 看；vt. 看, 注视",A1,,,,
job,job,/dʒɒb/,vt./vi./n.,"n. 工作, 零活, 职业, 事情；vi. 做零工, 打杂, 做股票经纪, 假公济私；vt. 代客买卖, 批发, 承包, 欺骗",A1,,,,
word,word,/wә:d/,vt./n.,"n. 话, 消息, 词, 诺言, 命令；vt. 用言辞表达",A1,,,,
though,though,/ðәu/,adv./conj.,"adv. 然而, 可是；conj. 虽然, 纵然",B1,,,,
business,business,/'biznis/,n.,"n. 生意, 事情, 业务, 商业, 商行, 职责",A1,,,,
four,four,/fɒ:/,num.,"num. 四, 四个",A1,,,,
issue,issue,/'isju/,vt./vi./n.,"n. 发行, 问题, 后果, 流出, 出口, 争端；vi. 发行, 流出, 造成...结果, 传下；vt. 使流出, 放出, 发行, 发布, 发给",B1,,,,
side,side,/said/,vt./vi./n.,"n. 旁边, 侧, 方面, 胁, 侧边, 血统；a. 旁的, 侧的, 次要的；vt. 同意, 支持；vi. 支持, 赞助",A2,,,,
kind,kind,/kaind/,n.,"n. 种类, 性质, 方式；a. 亲切的, 仁慈的, 和蔼的",A1,,,,
head,head,/hed/,vt./vi./n.,"n. 头, 头脑, 领袖, 脑袋, 最前的部分；vt. 为首, 朝向, 前进, 用头顶；vi. 朝特定方向行进, (作物)结穗；a. 头的, 在顶端的, 主要的",A1,,,,
far,far,/fɑ:/,adv.,"a. 远的, 久远的, 遥远的；adv. 甚远地, 很, 到很深的程度, 到很远的距离",A1,,,,
black,black,/blæk/,n.,"n. 黑色, 黑颜料；a. 黑色的",A1,,,,
long,long,/lɒŋ/,vi./n./adv.,"a. 长的, 长久的, 冗长的, 做多头的；vi. 渴望, 热望, 极想；adv. 长久, 始终；n. 长时间, 长信号, 长整型",A1,,,,
both,both,/bәuθ/,adv./pron.,a. 两者的；adv. 两者都；pron. 两者,A1,,,,
little,little,/'litl/,n./adv.,"n. 一点点, 少许, 一会儿, 短时间；a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的；adv. 很少, 稍微, 完全不",A1,,,,
house,house,/haus/,vt./vi./n.,"n. 房子, 住宅, 机构, 议院, 家族, 家庭；vt. 给...房子住, 收藏；vi. 住, 躲藏",A1,,,,
yes,yes,/jes/,v./n./adv.,"adv. 是；n. 是, 同意；v. 同意",A1,,,,
since,since,/sins/,adv./prep./conj.,"prep. 自...以后, 自...以来；adv. 自那时以后；conj. 既然, 自...以后, 自...以来",A2,,,,
provide,provide,/prә'vaid/,vt./vi.,"vt. 提供, 供应, 规定, 预备；vi. 作准备, 抚养, 规定",A2,,,,
service,service,/'sә:vis/,vt./n.,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门；vt. 保养, 维修；a. 武装部队的, 服务性的, 仆人的, 耐用的",A2,,,,
around,around,/ә'raund/,adv./prep.,"prep. 包围, 在...周围, 四处；adv. 兜着圈子, 在附近, 到处",A1,,,,
friend,friend,/frend/,n.,"n. 朋友, 支持者, 赞助者",A1,,,,
important,important,/im'pɒ:tәnt/,,"a. 重要的, 有地位的, 大量的, 显要的, 自负的",A1,,,,
father,father,/'fɑ:ðә/,vt./n.,"n. 父亲, 祖先, 长辈, 神父, 创始者；vt. 当...的父亲, 保护, 创作, 发明, 培养",A1,,,,
sit,sit,/sit/,vt./vi./n.,"vi. 坐, 就座, 坐落；vt. 使就座, 骑；n. 坐, 衣服合身",A1,,,,
away,away,/ә'wei/,adv.,adv. 离去,A1,,,,
until,until,/әn'til/,prep./conj.,"prep. 直到, 在...以前；conj. 直到...时, 在...以前",A1,,,,
power,power,/'pauә/,vt./n.,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率；vt. 使...有力量, 供以动力, 激励",A2,,,,
hour,hour,/auә/,n.,"n. 小时, 钟头, 时间, ...点钟, 课时",A1,,,,
game,game,/geim/,vi./n.,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味；vi. 赌博；a. 勇敢的, 有胆量的, 关于野味的, 跛的",A1,,,,
often,often,/'ɒ:fn/,adv.,"adv. 时常, 常常",A1,,,,
yet,yet,/jet/,adv./conj.,"adv. 还, 尚, 仍然, 已经, 然而；conj. 然而",A2,,,,
line,line,/lain/,vt./vi./n.,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系；vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹；vi. 排队",A1,,,,
political,political,/pә'litikl/,,"a. 政治的, 政治上的, 政党的, 从事政治的",B1,,,,
end,end,/end/,v./n.,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余；v. 结束, 终结, 终止",A1,,,,
among,among,/ә'mʌŋ/,prep.,prep. 在...之中,A2,,,,
ever,ever,/'evә/,adv.,"adv. 曾经, 究竟, 永远",A1,,,,
stand,stand,/stænd/,vt./vi./n.,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席；vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状；vt. 忍受, 使站立, 抵挡",A1,,,,
bad,bad,/bæd/,n./adv.,a. 坏的；n. 坏；adv. 坏地,A1,,,,
lose,lose,/lu:z/,vt./vi.,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于；vi. 受损失, 失败",A1,,,,
however,however,/hau'evә/,adv./conj.,"adv. 然而, 无论如何, 究竟怎样；conj. 然而, 可是",A1,,,,
member,member,/'membә/,n.,"n. 成员, 会员",A1,,,,
pay,pay,/pei/,vt./vi./n.,"n. 薪资, 付款, 补偿；vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物；vi. 付款, 付出代价, 偿还, 得到报应, 获得好处",A1,,,,
law,law,/lɒ:/,v./n.,"n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼；v. 起诉",A2,,,,
meet,meet,/mi:t/,vt./vi./n.,"n. 会, 集会；a. 适宜的, 合适的；vt. 遇见, 引见, 认识, 满足, 对付；vi. 相遇, 接触",A1,,,,
car,car,/kɑ:/,n.,"n. 汽车, 客车",A1,,,,
city,city,/'siti/,n.,"n. 城市, 市",A1,,,,
almost,almost,/'ɒ:lmәust/,adv.,"adv. 几乎, 差不多",A2,,,,
include,include,/in'klu:d/,vt.,"vt. 包括, 把...算入, 包住",A1,,,,
continue,continue,/kәn'tinju:/,vt./vi.,"vi. 继续, 延续, 延长；vt. 使继续, 使延长",A2,,,,
set,set,/set/,vt./vi./n.,"n. 日落, 同伙, 组合, 集合, 装置；vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整；vi. 日落, 凝固, 定型, 搁住, 结果, 适合；a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的",B1,,,,
later,late,/'leitә/,adv.,"adv. 以后, 随后",A1,,,,
community,community,/kә'mju:niti/,n.,"n. 社区, 公众, 共有, 共同体",A2,,,,
name,name,/neim/,vt./n.,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名；vt. 命名, 称呼, 任命, 提名, 列举；a. 姓名的, 据以取名的",A1,,,,
five,five,/faiv/,num.,"num. 五, 五个",A1,,,,
once,once,/wʌns/,n./adv./conj.,"adv. 一次, 曾经, 一旦；conj. 一旦, 一经；n. 一次；a. 从前的",A1,,,,
white,white,/hwait/,n.,"n. 白色, 洁白, 眼白, 白种人, 蛋白；a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的",A1,,,,
least,least,/li:st/,n./adv.,"n. 最少, 最小, 最小限度；a. 最少的, 最小的；adv. 最小, 最少",A2,,,,
president,president,/'prezidәnt/,n.,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人",A2,,,,
learn,learn,/lә:n/,vt.,vt. 学习；认识到；得知,A1,,,,
real,real,/'riәl/,n./adv.,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的；n. 实数, 现实；adv. 真正地",A1,,,,
change,change,/tʃeindʒ/,vt./n.,"n. 变化, 找回的零钱, 找头, 更换；vt. 改变, 更换, 兑换",A1,,,,
team,team,/ti:m/,vt./vi./n.,"n. 队, 组；vt. 把马(牛)套在同一辆车上, 把...编成一组；vi. 驾驶卡车, 协作",A1,,,,
minute,minute,/'minit. mai'nju:t/,vt./n.,"n. 分, 分钟, 片刻, 备忘录, 笔记；vt. 记录, 摘录, 测定时间；a. 微小的, 详细的",A1,,,,
best,good,/best/,n./adv.,a. 最好的；adv. 最好地；n. 最好的人,A1,,,,
several,several,/'sevәrәl/,pron.,"a. 几个的, 一些的, 各自的；pron. 几个",A2,,,,
idea,idea,/ai'diә/,n.,"n. 主意, 办法, 理想, 思想, 概念, 意见",A1,,,,
kid,kid,/kid/,v./n.,"n. 小山羊, 小山羊肉, 小孩, 欺骗；a. 小山羊皮制的；v. 哄骗, 嘲弄",A2,,,,
body,body,/'bɒdi/,vt./n.,"n. 身体, 人, 尸体, 主要部分, 团体；vt. 赋以形体",A1,,,,
information,information,/.infә'meiʃәn/,n.,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉",A1,,,,
nothing,nothing,/'nʌθiŋ/,n./adv.,"n. 无, 不关紧要之事, 零；adv. 毫不, 决不；interj. 什么也没有, 无",A1,,,,
ago,ago,/ә'gәu/,adv.,adv. 以前,A1,,,,
lead,lead,/li:d. led/,vt./vi./n.,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线；vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包；vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖；a. 带头的, 最重要的",A2,,,,
social,social,/'sәuʃәl/,n.,"a. 社会的, 群居的, 社交的；n. 联欢会",A2,,,,
understand,understand,/.ʌndә'stænd/,vt./vi.,"vt. 理解, 了解, 领会, 听说, 懂；vi. 懂得, 认为",A1,,,,
whether,whether,/'hweðә/,conj./pron.,"conj. 是否, 不论；pron. 两个中的哪一个",B1,,,,
watch,watch,/wɒtʃ/,vt./vi./n.,"n. 观察, 手表, 看守, 守护, 监视, 值班人；vt. 看, 注视, 照顾, 看守, 守护, 监视；vi. 观看, 注视, 守侯",A1,,,,
together,together,/tә'geðә/,adv.,"adv. 一起, 共同, 彼此",A1,,,,
follow,follow,/'fɒlәu/,vt./vi./n.,"vt. 跟随, 沿行, 遵循, 追求；vi. 跟随, 接着；n. 跟随, 追随",A1,,,,
parent,parent,/'perәnt/,n.,"n. 父母, 父母亲, 根源",A1,,,,
stop,stop,/stɒp/,vt./vi./n.,"n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓；vi. 停止, 被塞住；vt. 塞住, 堵塞, 阻止, 击落, 停止, 终止, 断绝",A1,,,,
face,face,/feis/,vt./vi./n.,"n. 脸, 面容, 正面, 外观；vt. 面对, 朝, 正视, 面临；vi. 朝, 向",A1,,,,
anything,anything,/'eniθiŋ/,pron.,pron. 任何事,A1,,,,
create,create,/kri:'eit/,vt.,"vt. 创造, 建造, 引起, 任命",A1,,,,
public,public,/'pʌblik/,n.,"n. 公众, 民众；a. 公众的, 公共的, 公立的, 公用的",A2,,,,
already,already,/ɒ:l'redi/,adv.,"adv. 已经, 早已",A2,,,,
speak,speak,/spi:k/,vt./vi.,"vi. 说, 说话, 演说, 发言；vt. 说, 讲, 说出",A1,,,,
others,other,,pron.,pron. 其他人,A1,,,,
read,read,/ri:d/,v./n.,"v. 读, 阅读, 理解；a. 有学问的；n. 读取, 阅读",A1,,,,
level,level,/'levl/,vt./vi./n.,"n. 水平, 水准, 平地；a. 同高的, 平坦的, 齐平的, 水平的；vt. 弄平, 夷平, 使同等, 瞄准, 对准；vi. 变平, 拉平",A2,,,,
allow,allow,/ә'lau/,vt./vi.,"vt. 允许, 同意给予, 承认；vi. 容许, 猜想",A2,,,,
add,add,/æd/,vt./vi.,"vt. 增加, 添加, 附带说明, 计算...总和；vi. 做加法, 积累而成, 增添",A1,,,,
office,office,/'ɒfis/,n.,"n. 办公室, 部, 公职, 职责",A1,,,,
spend,spend,/spend/,vt./vi.,"vt. 花费, 浪费, 度过, 消耗, 消磨；vi. 花费, 用尽",A1,,,,
door,door,/dɒ:/,n.,n. 门,A1,,,,
health,health,/'helθ/,n.,"n. 健康, 卫生, 蓬勃, 健康状态",A1,,,,
person,person,/'pә:sn/,n.,"n. 人, 人身, 人称",A1,,,,
art,art,/ɑ:t/,n.,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术",A1,,,,
sure,sure,/ʃuә/,adv.,"a. 确信, 必然的, 必定的；adv. 当然, 确实地, 无疑地",A1,,,,
war,war,/wɒ:/,vi./n.,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争；vi. 进行战争, 作战, 打仗, 战斗；a. 战争的, 战时用的",A2,,,,
history,history,/'histәri/,n.,"n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录",A1,,,,
party,party,/'pɑ:ti/,v./n.,"n. 宴会, 党, 政党, 团体, 当事人, 聚会；v. 举办聚会",A1,,,,
within,within,/wi'ðin/,n./adv./prep.,"n. 内部, 里头；adv. 在内部, 在内心里；prep. 在...之内",B1,,,,
grow,grow,/grәu/,vt./vi.,"vt. 种植, 使长满；vi. 生长, 变成, 发展",A1,,,,
result,result,/ri'zʌlt/,vi./n.,"n. 结果, 成绩, 答案；vi. 产生, 结果, 致使",A1,,,,
open,open,/'әupәn/,vt./vi./n.,"n. 公开, 户外, 空旷；a. 开着的, 开放的, 开阔的, 营业着的, 公开的, 悬而未决的；vt. 打开, 公开, 开放；vi. 展开, 开始, 展现",A1,,,,
morning,morning,/'mɒ:niŋ/,n.,"n. 早晨, 早上, 初期",A1,,,,
walk,walk,/wɒ:k/,vt./vi./n.,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所；vi. 走路, 步行, 处世；vt. 走过, 遛, 使走, 护送...走",A1,,,,
reason,reason,/'ri:zn/,vt./vi./n.,"n. 理由, 原因, 理智, 道理, 前提, 理性；vt. 说服, 推论, 辩论；vi. 推论, 劝说, 思考",A1,,,,
low,low,/lәu/,vi./n./adv.,"n. 低点, 低价, 低, 牛叫声；a. 低的, 消沉的, 低等的, 浅的, 卑贱的；adv. 低下地, 谦卑地, 低；vi. 牛叫",A2,,,,
win,win,/win/,vt./vi./n.,"vt. 赢得, 打胜, 成功；vi. 获胜, 达到, 影响；n. 胜利, 赢, 收益",A1,,,,
research,research,/ri'sә:tʃ/,vi./n.,"n. 研究, 调查, 考察；vi. 研究, 调查",A2,,,,
girl,girl,/gә:l/,n.,"n. 女孩, 少女, 女佣",A1,,,,
guy,guy,/gai/,vt./vi./n.,"n. 家伙, 支索；vt. 用支索撑住, 取笑, 嘲弄；vi. 逃跑",A2,,,,
early,early,/'ә:li/,adv.,"a. 早的, 早熟的；adv. 很早, 初",A1,,,,
food,food,/fu:d/,n.,"n. 食物, 养料",A1,,,,
himself,himself,/him'self/,pron.,"pron. 他自己, 他亲自",A2,,,,
moment,moment,/'mәumәnt/,n.,"n. 片刻, 瞬间, 重要, 阶段, 力矩",A1,,,,
air,air,/єә/,vt./n.,"n. 空气, 旋律, 态度；vt. 晾, 使通风, 夸耀",A1,,,,
teacher,teacher,/'ti:tʃә/,n.,"n. 教师, 老师, 导师",A1,,,,
force,force,/fɒ:s/,vt./n.,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力；vt. 强迫, 强夺, 推动, 提高",B1,,,,
offer,offer,/'ɒfә/,vt./vi./n.,"n. 给予(物), 出价, 提议, 意图, 报价；vt. 提供, 出价, 奉献, 试图, 使出现, 演出；vi. 出现, 献祭, 提议, 求婚",A2,,,,
enough,enough,/i'nʌf/,n./adv.,"n. 充足, 够, 很多；a. 充足的, 足够；adv. 足够；interj. 够了",A1,,,,
education,education,/.edju'keiʃәn/,n.,"n. 教育, 训练, 教育学",A2,,,,
across,across,/ә'krɒs/,adv./prep.,"prep. 越过, 穿过, 与...相交叉, 在...的对面；adv. 交叉, 到另一边, 在对面, 成十字",A1,,,,
although,although,/ɒ:l'ðou/,conj.,"conj. 虽然, 尽管",A2,,,,
remember,remember,/ri'membә/,vt./vi.,"vt. 记得, 回忆起, 记住, 铭记, 纪念；vi. 记得",A1,,,,
foot,foot,/fut/,vt./vi./n.,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵；vt. 走在...上, 给...换底, 支付；vi. 跳舞, 步行, 总计",A1,,,,
second,second,/'sekәnd/,vt./n./num.,"n. 秒, 瞬间, 第二名, 支持者, 助手；a. 第二的, 其次的, 次要的, 附加的, 辅助的；num. 第二；vt. 当...助手, 支持",A1,,,,
boy,boy,/bɒi/,n.,n. 男孩,A1,,,,
maybe,maybe,/'meibi:/,n./adv.,"adv. 也许, 大概；n. 可能性",A1,,,,
toward,toward,/tә'wɒ:d/,prep.,"prep. 向, 对于, 为了；a. 即将来临的, 进行中的",A2,,,,
able,able,/'eibl/,,"a. 能干的, 能够的",A2,,,,
age,age,/eidʒ/,v./n.,"n. 年龄, 老年, 成年, 寿命, 时代, 时期；v. 变老, 成熟",A1,,,,
policy,policy,/'pɒlisi/,n.,"n. 政策, 方针, 策略, 保险单",B1,,,,
everything,everything,/'evriθiŋ/,pron.,"pron. 每件事物, 所有事物",A1,,,,
love,love,/lʌv/,vt./vi./n.,"n. 爱, 恋爱, 爱情, 爱好, 性爱；vt. 爱, 爱好, 爱慕；vi. 爱",A1,,,,
process,process,/'prɒses/,vt./n.,"n. 程序, 进行, 过程；vt. 加工, 使...接受处理, 对...处置, 对...起诉；a. 经加工的, 有特殊光效的",A2,,,,
music,music,/'mju:zik/,n.,"n. 音乐, 乐曲",A1,,,,
including,include,,prep.,"prep. 包含, 包括",A2,,,,
consider,consider,/kәn'sidŋ/,v.,"v. 考虑, 思考, 认为",A2,,,,
appear,appear,/ә'piә/,vi.,"vi. 出现, 显得, 来到",A2,,,,
actually,actually,/'æktʃuәli/,adv.,"adv. 事实上, 竟然, 如今, 现在",A2,,,,
buy,buy,/bai/,vt./vi./n.,"vt. 买, 获得；vi. 买；n. 购买, 买得的东西",A1,,,,
probably,probably,/'prɒbәbli/,adv.,"adv. 大概, 或许",A1,,,,
human,human,/'hju:mәn/,n.,"n. 人, 人类；a. 人类的, 似人类的, 人性的, 有同情心的",A2,,,,
wait,wait,/weit/,vt./vi./n.,"n. 等待, 等候；vt. 等候, 期待, 延缓, 伺候, 推迟；vi. 等, 等候, 耽搁, 伺候用餐",A1,,,,
serve,serve,/sә:v/,vt./vi./n.,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待；vi. 服务, 服役, 侍应, 适合, 有用, 开球；n. 发球, 轮到发球",A2,,,,
market,market,/'mɑ:kit/,vt./vi./n.,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路；vt. 在市场上交易, 使上市, 销售；vi. 在市场上买卖",A1,,,,
die,die,/dai/,vt./vi./n.,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望；vt. 死；n. 骰子, 冲模",A1,,,,
send,send,/send/,vt./vi./n.,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于；vi. 寄信, 派人, 播送；n. (船的)上升运动",A1,,,,
expect,expect,/iks'pekt/,vt.,"vt. 预期, 盼望, 期待",A2,,,,
sense,sense,/sens/,vt./n.,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智；vt. 感觉, 觉察, 检测",A2,,,,
build,build,/bild/,v./n.,"v. 建立, 建筑；n. 构造, 体格",A1,,,,
stay,stay,/stei/,vt./vi./n.,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索；vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定；vi. 停留, 逗留, 暂停, 坚持, 中止",A1,,,,
fall,fall,/fɒ:l/,vi./n.,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天；vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低；a. 秋天的",A1,,,,
oh,oh,/әu/,,interj. (表示惊讶、恐怖、赞叹)哦,A1,,,,
nation,nation,/'neiʃәn/,n.,"n. 国家, 民族",B1,,,,
plan,plan,/plæn/,vt./vi./n.,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图；vt. 计划, 设计, 意欲；vi. 订计划",A1,,,,
cut,cut,/kʌt/,vt./vi./n.,"n. 切口, 割伤, 降低, 切, 割, 砍, 削, 伤口, 削减, 缩短, 删节, 通路；a. 经切割的, 缩减的；vt. 切, 割, 减少, 刺痛, 开辟, 雕刻, 删节, 缩短, 停止, 排斥, 切断, 关, 显出；vi. 切, 割, 砍, 刺痛, 相交, 抄近路, 剪辑",A1,,,,
college,college,/'kɒlidʒ/,n.,"n. 学院, 大学, 学会",A1,,,,
interest,interest,/'intrist/,vt./n.,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力；vt. 使感兴趣, 与...有关系",A1,,,,
death,death,/deθ/,n.,n. 死亡,A2,,,,
course,course,/kɒ:s/,v./n.,"n. 课程, 路线, 过程, 一道菜, 道路；v. 追, (使)跑",A1,,,,
someone,someone,/'sʌmwʌn/,pron.,"pron. 有人, 某人",A1,,,,
experience,experience,/ik'spiәriәns/,vt./n.,"n. 经历, 经验, 体验；vt. 经历, 经验, 体验",A2,,,,
behind,behind,/bi'haind/,adv./prep.,adv. 在后地；prep. 在...背后,A1,,,,
reach,reach,/ri:tʃ/,vt./vi./n.,"n. 伸出, 延伸, 区域, 范围, 流域, 岬；vt. 到达, 达到, 伸出, 延伸, 影响；vi. 达到, 延伸, 伸出手, 传到",A2,,,,
local,local,/'lәukәl/,n.,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的；n. 当地居民, 本地新闻, 局部",A1,,,,
six,six,/siks/,num.,"num. 六, 六个",A1,,,,
kill,kill,/kil/,vt./vi./n.,"n. 杀, 杀戮, 小河；vt. 杀, 破坏, 消灭, 使终止, 抵消, 否决；vi. 杀死",A2,,,,
remain,remain,/ri'mein/,vi.,"vi. 保持, 逗留, 剩余",B1,,,,
effect,effect,/i'fekt/,vt./n.,"n. 结果, 影响, 效果, 印象；vt. 实行, 引起, 完成",A2,,,,
yeah,yeah,/jɑ:/,adv.,"adv. (非正式)是, 是的",A1,,,,
suggest,suggest,/sәg'dʒest/,vt.,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起",A2,,,,
class,class,/klɑ:s/,vt./n.,"n. 班级, 阶级, 种类, 课；vt. 分类",A1,,,,
control,control,/kәn'trәul/,vt./n.,"n. 控制, 管理, 克制, 控制器, 操纵装置；vt. 控制, 操纵, 抑制",A2,,,,
raise,raise,/reiz/,vt./n.,"n. 上升, 高地, 增高；vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养",A2,,,,
care,care,/kєә/,vt./vi./n.,"n. 小心, 照料, 忧虑；vi. 关心, 介意；vt. 在意, 喜欢",A2,,,,
perhaps,perhaps,/pә'hæps/,adv.,"adv. 也许, 大概",A2,,,,
late,late,/leit/,adv.,"a. 迟的, 晚的, 已故的；adv. 很晚, 很迟, 晚",A1,,,,
hard,hard,/hɑ:d/,adv.,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的；adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地",A1,,,,
field,field,/fi:ld/,vt./n.,"n. 领域, 田地, 场地, 战场, 场, 域；vt. 使...晒在场上, 使上场；a. 田间的, 野生的, 野外的, 田赛的",A2,,,,
else,else,/els/,adv.,"a. 别的, 其他的；adv. 另外, 否则, 不然",A1,,,,
pass,pass,/pæs/,vt./vi./n.,"n. 经过, 要隘, 途径, 通行, 护照, 及格；vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略；vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递",A2,,,,
former,former,/'fɒ:mә/,n.,"a. 从前的, 前者的；n. 起形成作用的人(或物), 模型, 样板",B2,,,,
